Backprop_Step,Average_Loss
1,0.21038418
2,0.17646012
3,0.13349415
4,0.12318961
5,0.105314046
6,0.0961186
7,0.09017395
8,0.09727049
9,0.09413291
10,0.09208845
11,0.0894611
12,0.09039983
13,0.083197676
14,0.08637466
15,0.086111814
16,0.08301044
17,0.084790275
18,0.08006579
19,0.083526984
20,0.078039974
21,0.08180958
22,0.075910114
23,0.07876355
24,0.07953306
25,0.07423329
26,0.07238997
27,0.07205259
28,0.0742106
29,0.06511484
30,0.07716118
31,0.06635305
32,0.06895656
33,0.06632519
34,0.06350741
35,0.063082196
36,0.06303972
37,0.063257106
38,0.0617062
39,0.06660067
40,0.058950294
41,0.061816946
42,0.05154329
43,0.060926154
44,0.05819644
45,0.052926507
46,0.05845667
47,0.049804352
48,0.057493623
49,0.047461234
50,0.050564792
51,0.048900735
52,0.048842203
53,0.050413214
54,0.047449782
55,0.04765426
56,0.04346573
57,0.046399985
58,0.042630557
59,0.04531418
60,0.04146294
61,0.047012422
62,0.038805854
63,0.041208077
64,0.041989777
65,0.03795956
66,0.03916482
67,0.038836405
68,0.04017305
69,0.031658348
70,0.040229734
71,0.03793667
72,0.03469724
73,0.039200235
74,0.03392684
75,0.03475206
76,0.03640424
77,0.031836417
78,0.03318517
79,0.033077523
80,0.031828996
81,0.040651463
82,0.034408104
83,0.031890288
84,0.031699907
85,0.032304525
86,0.028401928
87,0.03426259
88,0.03251046
89,0.024487514
90,0.03336175
91,0.0333891
92,0.026366334
93,0.027262062
94,0.03135608
95,0.024348414
96,0.02590028